자치구,총인구,노인인구,노인인구비율,CCTV댓수,2017년 이전,최근 3개년,최근 증가율,1천명당 CCTV댓수
종로구,154318,27776,18.0,1772,1435,294,20.49,11.48
중구,131943,24225,18.36,2333,1142,902,78.98,17.68
용산구,238300,38906,16.33,2383,1334,1049,78.64,10.0
성동구,294140,46053,15.66,3602,2413,1113,46.13,12.25
광진구,353380,51278,14.51,2588,1204,1352,112.29,7.32
동대문구,351626,61759,17.56,2497,1805,629,34.85,7.1
중랑구,393149,70908,18.04,3296,1131,2161,191.07,8.38
성북구,441717,74235,16.81,3958,1938,1832,94.53,8.96
강북구,304257,63914,21.01,2462,443,1980,446.95,8.09
도봉구,320711,63448,19.78,1629,710,588,82.82,5.08
노원구,517038,87537,16.93,2415,1389,922,66.38,4.67
은평구,477961,86724,18.14,3791,1680,1980,117.86,7.93
서대문구,316415,54056,17.08,2940,1962,977,49.8,9.29
마포구,379525,54260,14.3,2421,1264,1137,89.95,6.38
양천구,452255,67880,15.01,3312,2573,739,28.72,7.32
강서구,581265,91505,15.74,2560,1365,1072,78.53,4.4
구로구,422361,71930,17.03,4075,2738,1337,48.83,9.65
금천구,244887,40691,16.62,2374,948,1417,149.47,9.69
영등포구,401814,62108,15.46,3778,1837,1936,105.39,9.4
동작구,396122,66306,16.74,2297,1245,1041,83.61,5.8
관악구,501572,79444,15.84,4942,3274,1634,49.91,9.85
서초구,420045,60493,14.4,3704,2495,1206,48.34,8.82
강남구,538075,77222,14.35,6502,4022,2479,61.64,12.08
송파구,664996,96453,14.5,2854,908,1845,203.19,4.29
강동구,467997,73228,15.65,2547,1200,1347,112.25,5.44
